Amedibacterium_intestinale	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11674	1	3260088	111071	2216963	68.0032	1.41644	40.8	35.7
MS11675	1	3260088	310684	2920253	89.5759	4.58078	40.3	35.8
MS11676	1	3260088	73534	1804433	55.3492	0.948311	40.8	35.5
MS11677	1	3260088	126590	2236676	68.6078	1.67614	40.7	35.7
MS11678	1	3260088	92461	1998572	61.3042	1.2599	40.6	35.5
MS11679	1	3260088	175148	2500523	76.7011	2.63828	40.2	35.6
MS11683	1	3260088	142688	2349822	72.0785	1.98995	40.5	35.6
MS11684	1	3260088	18371	664899	20.3951	0.246022	40.6	35
MS11686	1	3260088	63615	1741401	53.4158	0.879474	40.5	35.4
MS11770	1	3260088	14929	560205	17.1837	0.203517	40.5	35.2
MS11771	1	3260088	46460	1417446	43.4788	0.64789	40.4	35.6
MS11774	1	3260088	91173	1955596	59.986	1.20608	40.7	35.8
MS11775	1	3260088	354219	2893865	88.7665	5.00248	40.4	35.9
Escherichia_coli	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4641652	2642	77127	1.66163	0.0216027	40.8	30.4
MS11670	1	4641652	17159	675546	14.554	0.160776	40.7	35.6
MS11673	1	4641652	2527	90772	1.9556	0.021641	40.8	33.5
MS11674	1	4641652	175098	3194334	68.8189	1.52668	40.8	35.5
MS11675	1	4641652	185842	3509173	75.6018	1.75233	40.5	35.7
MS11676	1	4641652	220157	3678401	79.2477	1.93956	40.8	36.2
MS11677	1	4641652	5560	201661	4.3446	0.0466461	40.9	34.1
MS11678	1	4641652	19382	705600	15.2015	0.173592	40.7	35.2
MS11679	1	4641652	74914	2287425	49.2804	0.738308	40.4	35.9
MS11683	1	4641652	40625	1368109	29.4746	0.369901	40.6	35.7
MS11684	1	4641652	597274	4369335	94.1332	5.64703	40.5	36.2
MS11686	1	4641652	36989	1311834	28.2622	0.344744	40.5	35.6
MS11770	1	4641652	62282	1851869	39.8968	0.563598	40.7	35.4
MS11771	1	4641652	1058004	4353865	93.7999	10.8853	40.2	36.1
MS11774	1	4641652	84343	2374479	51.1559	0.779756	40.6	35.5
MS11775	1	4641652	22907	794036	17.1068	0.207406	40.6	33
Helicobacter_cinaedi	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2078348	278	5577	0.268338	0.00485097	40.9	29.1
MS11670	1	2078348	177	6297	0.302981	0.00373999	40.7	32.7
MS11673	1	2078348	200	5700	0.274256	0.00402098	40.6	30.9
MS11674	1	2078348	112	3947	0.18991	0.00205404	40.9	31.5
MS11675	1	2078348	1293	53012	2.55068	0.027556	40.5	33.2
MS11676	1	2078348	121	3050	0.146751	0.00207232	40.9	28.7
MS11677	1	2078348	11374	378755	18.2238	0.217555	40.9	34.6
MS11678	1	2078348	3293	126524	6.08772	0.066142	40.7	33.1
MS11679	1	2078348	638	26319	1.26634	0.0134107	40.5	33.4
MS11683	1	2078348	812	32254	1.55191	0.0164535	40.7	33.8
MS11684	1	2078348	87	2748	0.13222	0.00166382	40.6	30.6
MS11686	1	2078348	8395	311054	14.9664	0.172881	40.7	34.1
MS11770	1	2078348	88	2217	0.106671	0.00170664	40.7	28.9
MS11771	1	2078348	162	4662	0.224313	0.00307023	40.7	30.3
MS11774	1	2078348	551	19821	0.95369	0.0109159	40.7	32.9
MS11775	1	2078348	48676	1061170	51.0583	1.05871	40.4	34.4
Helicobacter_NHP19-003	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	1539826	676	23630	1.53459	0.0176241	40.6	33.8
MS11670	1	1539826	367	14287	0.927832	0.0103278	40.5	34
MS11673	1	1539826	684	28463	1.84846	0.0194587	40.3	35
MS11674	1	1539826	5038	181918	11.8142	0.12684	40.9	36.3
MS11675	1	1539826	7889	304822	19.7959	0.228413	40.4	36.4
MS11676	1	1539826	3626	145118	9.42431	0.100818	40.6	36.1
MS11677	1	1539826	35783	945146	61.3801	1.04064	40.5	36.2
MS11678	1	1539826	1220	50296	3.26634	0.034602	40.5	35.5
MS11679	1	1539826	2124	92320	5.99548	0.0633279	40.2	35.8
MS11683	1	1539826	2490	105335	6.84071	0.0725368	40.4	35.9
MS11684	1	1539826	8066	309897	20.1255	0.230134	40.4	36.4
MS11686	1	1539826	34746	917425	59.5798	1.00596	40.4	36.3
MS11770	1	1539826	1413	62056	4.03007	0.0417404	40.4	36
MS11771	1	1539826	9324	366626	23.8096	0.278283	40.2	36.4
MS11774	1	1539826	6362	253617	16.4705	0.185638	40.3	36.5
MS11775	1	1539826	2085	81470	5.29086	0.0559985	40.5	35.9
Phocaeicola_vulgatus	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4957189	457	14663	0.295793	0.00337913	40.9	30.8
MS11670	1	4957189	2263	93371	1.88355	0.020226	40.5	34.9
MS11673	1	4957189	2753	106112	2.14057	0.0223465	40.8	35.2
MS11674	1	4957189	1871	61669	1.24403	0.014621	40.9	32.8
MS11675	1	4957189	24964	806885	16.2771	0.218577	40.6	34.8
MS11676	1	4957189	7193	204199	4.11925	0.0575451	40.8	32.4
MS11677	1	4957189	111311	2593721	52.3224	0.905912	40.9	36.4
MS11678	1	4957189	51021	1598619	32.2485	0.440734	40.7	36.2
MS11679	1	4957189	27883	984285	19.8557	0.244985	40.6	35.8
MS11683	1	4957189	36067	1146262	23.1232	0.303667	40.7	35.6
MS11684	1	4957189	19746	655140	13.216	0.168408	40.7	34.9
MS11686	1	4957189	54683	1647105	33.2266	0.467915	40.7	35.7
MS11770	1	4957189	9467	365120	7.36546	0.0797531	40.7	35.8
MS11771	1	4957189	5543	218126	4.4002	0.0466831	40.7	35.4
MS11774	1	4957189	129014	2801094	56.5057	1.11608	40.6	36.2
MS11775	1	4957189	564534	3931495	79.309	5.10306	40.4	36.3
Providencia_alcalifaciens	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3990106	349	9092	0.227864	0.00314678	40.9	27.2
MS11670	1	3990106	218	6201	0.155409	0.00198015	40.9	27.6
MS11673	1	3990106	164	5074	0.127165	0.00148116	40.9	28.4
MS11674	1	3990106	1132	43136	1.08107	0.0110629	40.8	34.5
MS11675	1	3990106	6272	200778	5.0319	0.0647572	40.7	31.1
MS11676	1	3990106	1895	66736	1.67254	0.0182907	40.9	30.7
MS11677	1	3990106	339	9422	0.236134	0.0030523	40.9	27.2
MS11678	1	3990106	654	21309	0.534046	0.0063086	40.8	28.8
MS11679	1	3990106	139299	2926081	73.3334	1.62819	40.3	36.6
MS11683	1	3990106	146505	2869399	71.9129	1.56763	40.6	36.5
MS11684	1	3990106	4944	202164	5.06663	0.0524157	40.6	36.4
MS11686	1	3990106	1841	74736	1.87303	0.0191581	40.7	35.4
MS11770	1	3990106	506	19220	0.481691	0.00501165	40.8	33.7
MS11771	1	3990106	2781	93003	2.33084	0.0279231	40.8	31
MS11774	1	3990106	925	35205	0.882307	0.00947794	40.7	32.1
MS11775	1	3990106	1476	31747	0.795643	0.0134583	40.9	27.9
Amedibacterium_intestinale	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2488096	191	6610	0.265665	0.00293236	40.8	30.4
MS11669	1	2488096	191	6610	0.265665	0.00293236	40.8	30.4
MS11670	1	2488096	415	16148	0.64901	0.00694065	40.7	32.2
MS11670	1	2488096	415	16148	0.64901	0.00694065	40.7	32.2
MS11673	1	2488096	1001	38830	1.56063	0.0164391	40.7	35.3
MS11673	1	2488096	1001	38830	1.56063	0.0164391	40.7	35.3
MS11674	1	2488096	687	28098	1.1293	0.0115594	40.6	34.7
MS11674	1	2488096	687	28098	1.1293	0.0115594	40.6	34.7
MS11675	1	2488096	17029	598156	24.0407	0.330642	40.1	35.6
MS11675	1	2488096	17029	598156	24.0407	0.330642	40.1	35.6
MS11676	1	2488096	23562	769680	30.9345	0.409962	40.7	36.1
MS11676	1	2488096	23562	769680	30.9345	0.409962	40.7	36.1
MS11677	1	2488096	554	20929	0.841165	0.00886742	40.8	34.1
MS11677	1	2488096	554	20929	0.841165	0.00886742	40.8	34.1
MS11678	1	2488096	3310	132168	5.31201	0.0592831	40.5	34.3
MS11678	1	2488096	3310	132168	5.31201	0.0592831	40.5	34.3
MS11679	1	2488096	1160	46798	1.88088	0.0209196	40.3	34.6
MS11679	1	2488096	1160	46798	1.88088	0.0209196	40.3	34.6
MS11683	1	2488096	1246	47967	1.92786	0.0214895	40.6	34.6
MS11683	1	2488096	1246	47967	1.92786	0.0214895	40.6	34.6
MS11684	1	2488096	14304	554853	22.3003	0.269785	40.3	36.1
MS11684	1	2488096	14304	554853	22.3003	0.269785	40.3	36.1
MS11686	1	2488096	9844	397363	15.9706	0.182525	40.3	36
MS11686	1	2488096	9844	397363	15.9706	0.182525	40.3	36
MS11770	1	2488096	3793	160671	6.45759	0.069214	40.5	35.3
MS11770	1	2488096	3793	160671	6.45759	0.069214	40.5	35.3
MS11771	1	2488096	623	25383	1.02018	0.0109276	40.3	34
MS11771	1	2488096	623	25383	1.02018	0.0109276	40.3	34
MS11774	1	2488096	7045	254845	10.2426	0.130041	40.3	35.3
MS11774	1	2488096	7045	254845	10.2426	0.130041	40.3	35.3
MS11775	1	2488096	89168	1674269	67.2912	1.74224	40.1	36
MS11775	1	2488096	89168	1674269	67.2912	1.74224	40.1	36
Enterococcus_faecalis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2866949	337	12087	0.421598	0.00455432	40.7	32.2
MS11670	1	2866949	130	4496	0.156822	0.00172169	40.8	30.4
MS11673	1	2866949	276	11965	0.417343	0.0042533	40.6	34.7
MS11674	1	2866949	37608	1158562	40.411	0.556376	40.7	36.6
MS11675	1	2866949	60076	1691464	58.9987	0.988437	40.3	36.5
MS11676	1	2866949	782	25898	0.90333	0.0107934	40.8	31.3
MS11677	1	2866949	309	11592	0.404332	0.00419366	40.8	32.7
MS11678	1	2866949	3005	122312	4.26628	0.0463594	40.5	35.6
MS11679	1	2866949	531	22113	0.771308	0.00834999	40.3	34.4
MS11683	1	2866949	390	14345	0.500358	0.00557108	40.6	32.7
MS11684	1	2866949	39305	1241012	43.2869	0.61359	40.5	36.6
MS11686	1	2866949	615	19315	0.673713	0.00844696	40.7	31.6
MS11770	1	2866949	243	8938	0.31176	0.003322	40.9	31.1
MS11771	1	2866949	29898	1052352	36.7063	0.484514	40.3	36.5
MS11774	1	2866949	2446	104936	3.6602	0.0381064	40.4	35.9
MS11775	1	2866949	1117	26303	0.917456	0.014881	40.7	28.7
Enterococcus_faecium	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	2796178	301	10592	0.378803	0.00427298	40.8	31.3
MS11670	1	2796178	76	2469	0.0882991	0.00102139	40.7	28.2
MS11673	1	2796178	6313	260837	9.32834	0.0999693	40.6	36.6
MS11674	1	2796178	14967	547716	19.588	0.226692	40.7	36.5
MS11675	1	2796178	2294	76096	2.72143	0.034456	40.6	31.6
MS11676	1	2796178	1660	63080	2.25594	0.0239706	40.8	33.7
MS11677	1	2796178	180	5591	0.199952	0.00233497	40.9	30.4
MS11678	1	2796178	1288	52722	1.8855	0.0195946	40.6	34.1
MS11679	1	2796178	1669	76692	2.74274	0.0280476	40.3	35.4
MS11683	1	2796178	1097	46028	1.6461	0.0168981	40.6	35
MS11684	1	2796178	648	25321	0.905558	0.0096403	40.7	32
MS11686	1	2796178	999	37664	1.34698	0.0147616	40.7	32.5
MS11770	1	2796178	5165	202816	7.25333	0.0784539	40.7	35.5
MS11771	1	2796178	92243	1848408	66.1048	1.51352	40.4	36.7
MS11774	1	2796178	6503	272907	9.76	0.105754	40.4	36.3
MS11775	1	2796178	8105	327810	11.7235	0.131061	40.4	35.9
Alcaligenes_faecalis	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4233756	11049	196814	4.64869	0.0968856	40.9	29.2
MS11670	1	4233756	2353	51210	1.20956	0.0202784	40.9	28.3
MS11673	1	4233756	2398	43631	1.03055	0.0206547	40.9	28.3
MS11674	1	4233756	775	22545	0.532506	0.00685774	40.7	29.1
MS11675	1	4233756	138142	2950812	69.6973	1.52647	40.2	35.9
MS11676	1	4233756	2328	58504	1.38185	0.0203425	40.9	28.8
MS11677	1	4233756	2321	52370	1.23696	0.0201478	40.9	28.4
MS11678	1	4233756	2890	54615	1.28999	0.0251625	40.9	28.3
MS11679	1	4233756	8915	291502	6.88519	0.087117	40.6	31.9
MS11683	1	4233756	5205	111444	2.63227	0.0461678	40.9	29.9
MS11684	1	4233756	1760	41850	0.988484	0.0153181	40.9	29.1
MS11686	1	4233756	1675	38601	0.911744	0.0143301	40.9	28.2
MS11770	1	4233756	2730	52412	1.23796	0.0236717	40.9	28.3
MS11771	1	4233756	4561	82169	1.94081	0.039884	40.9	28.3
MS11774	1	4233756	2969	55178	1.30329	0.0257726	40.9	28.2
MS11775	1	4233756	4344	83188	1.96487	0.0377917	40.9	28.4
Bacteroides_stercoris	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4734765	1083	35504	0.749858	0.00845639	40.9	32.8
MS11670	1	4734765	7818	328850	6.94543	0.0744744	40.6	35.9
MS11673	1	4734765	1576	59521	1.25711	0.0132366	40.8	34.2
MS11674	1	4734765	2012	74883	1.58156	0.0169248	40.8	34.1
MS11675	1	4734765	118071	2517035	53.1607	1.11735	40.5	36.1
MS11676	1	4734765	22820	776944	16.4093	0.200307	40.8	35.2
MS11677	1	4734765	67038	1788334	37.7703	0.571518	40.9	36.1
MS11678	1	4734765	49119	1526283	32.2357	0.449854	40.7	35.9
MS11679	1	4734765	33745	1165177	24.609	0.316951	40.5	35.9
MS11683	1	4734765	43369	1348073	28.4718	0.387471	40.7	35.8
MS11684	1	4734765	22394	636942	13.4525	0.201547	40.7	34.4
MS11686	1	4734765	94286	2220936	46.907	0.84977	40.7	35.8
MS11770	1	4734765	12718	479557	10.1284	0.111334	40.8	35.9
MS11771	1	4734765	10845	416816	8.80331	0.0962821	40.7	35.8
MS11774	1	4734765	185243	2944421	62.1873	1.68372	40.6	36.2
MS11775	1	4734765	178428	2828265	59.734	1.68097	40.4	35.8
Enterobacter_ludwigii	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4857439	2267	53920	1.11005	0.016801	40.9	27.6
MS11670	1	4857439	946	27284	0.561695	0.0070953	40.9	27.3
MS11673	1	4857439	993	20788	0.427962	0.00720771	40.9	26.8
MS11674	1	4857439	794	24202	0.498246	0.00597187	40.9	27.4
MS11675	1	4857439	27556	990728	20.3961	0.245967	40.5	34.5
MS11676	1	4857439	4409	149462	3.07697	0.0350051	40.9	29.9
MS11677	1	4857439	962	25476	0.524474	0.00703828	40.9	27
MS11678	1	4857439	2348	74307	1.52976	0.0186337	40.8	29.6
MS11679	1	4857439	1587	41121	0.846557	0.0120207	40.8	27.2
MS11683	1	4857439	1520	33501	0.689684	0.0111668	40.9	27.2
MS11684	1	4857439	2492	78818	1.62262	0.0198508	40.8	28.4
MS11686	1	4857439	1678	54372	1.11936	0.0129723	40.8	28
MS11770	1	4857439	1184	32982	0.679	0.00884293	40.9	27.1
MS11771	1	4857439	19653	731126	15.0517	0.181043	40.4	34.2
MS11774	1	4857439	2939	90303	1.85907	0.0231989	40.8	28.2
MS11775	1	4857439	1860	47885	0.985808	0.0137962	40.9	26.8
Rhodococcus_gordoniae	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4550112	12037	211923	4.65753	0.0983708	40.9	29.3
MS11670	1	4550112	3234	62921	1.38285	0.0259561	40.9	28.7
MS11673	1	4550112	4792	70263	1.5442	0.0380052	40.9	28.4
MS11674	1	4550112	1678	42492	0.933867	0.0133729	40.9	28.9
MS11675	1	4550112	15610	231820	5.09482	0.128787	40.9	29.4
MS11676	1	4550112	4443	97810	2.14962	0.0359031	40.9	29.2
MS11677	1	4550112	8328	177288	3.89634	0.0680243	40.9	29.5
MS11678	1	4550112	7451	111138	2.44253	0.0611251	40.9	29
MS11679	1	4550112	210698	3800589	83.5274	2.17074	40.3	36.2
MS11683	1	4550112	102696	2510945	55.1842	0.959428	40.6	35.2
MS11684	1	4550112	8082	165251	3.6318	0.0670023	40.9	29.7
MS11686	1	4550112	11162	317925	6.98719	0.0973284	40.8	32.6
MS11770	1	4550112	5127	94995	2.08775	0.0416155	40.9	29
MS11771	1	4550112	6245	109236	2.40073	0.050899	40.9	28.8
MS11774	1	4550112	15299	146923	3.229	0.127437	40.9	29.2
MS11775	1	4550112	6005	110020	2.41796	0.0487017	40.9	29
Lactococcus_petauri	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
